排名,电影名,年份,国家,类型,导演,演员,评论,评分,评价人数,点击数,名著改编
140,玩具总动员3,2010,美国,喜剧动画奇幻冒险,李·昂克里奇,汤姆·汉克斯/蒂姆·艾...,跨度十五年的欢乐与泪水。,8.9,436014人评价,0,1
141,恐怖直播,2013,韩国,剧情犯罪悬疑,金秉祐-,河正宇-/李璟荣-...,恐怖分子的“秋菊打官司”。,8.7,560049人评价,0,1
142,釜山行,2016,韩国,动作惊悚灾难,延尚昊-,孔侑/郑有美-/马...,揭露人性的丧尸题材力作。,8.6,1020497人评价,0,0
143,一个叫欧维的男人决定去死,2015,瑞典,剧情,汉内斯·赫尔姆,罗夫·拉斯加德...,惠及一生的美丽。,8.9,369587人评价,0,1
144,哪吒闹海,1979,中国大陆,冒险动画奇幻,王树忱/严定宪,梁正晖...,想你时你在闹海。,9.1,218400人评价,0,1
145,血战钢锯岭,2016,澳大利亚美国,剧情传记历史战争,梅尔·吉布森,安德鲁·加菲尔德/...,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,8.7,684565人评价,0,0
146,被解救的姜戈,2012,美国,剧情动作西部冒险,昆汀·塔伦蒂诺,杰米·福克斯/...,热血沸腾，那个低俗、性感的无耻混蛋又来了。,8.8,518908人评价,0,0
147,未麻的部屋,1997,日本,动画奇幻惊悚,今敏,岩男润子/松本梨香...,好的剧本是，就算你猜到了结局也猜不到全部。,9.0,257426人评价,0,1
148,头号玩家,2018,美国,动作科幻冒险,史蒂文·斯皮尔伯格,泰伊·谢里丹...,写给影迷，动漫迷和游戏迷的一封情书。,8.7,1185693人评价,0,0
149,七武士,1954,日本,动作冒险剧情,黑泽明,三船敏郎/志村乔...,时代悲歌。,9.3,165621人评价,0,0
150,我是山姆,2001,美国,剧情家庭,杰茜·尼尔森,//...,爱并不需要智商 。,9.0,276992人评价,0,1
151,喜宴,1993,中国台湾美国,剧情喜剧爱情同性家庭,李安,赵文瑄/郎雄/归亚...,中国家庭的喜怒哀乐忍。,8.9,294830人评价,0,1
152,寄生虫,2019,韩国,剧情喜剧,奉俊昊-,宋康昊-/李善均-...,,8.8,1177808人评价,0,1
153,电锯惊魂,2004,美国,悬疑惊悚恐怖,詹姆斯·温,雷·沃纳尔/加利·艾...,真相就在眼前。,8.7,449734人评价,0,0
154,新世界,2013,韩国,剧情犯罪,朴勋政-,李政宰-/崔岷植-...,要做就做得狠一点，这样才能活下去。,8.9,326591人评价,0,1
155,模仿游戏,2014,英国美国,剧情传记战争同性,莫滕·泰杜姆,本尼迪克特·康伯巴奇...,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,8.7,534470人评价,0,0
156,花样年华,2000,中国香港,剧情爱情,王家卫,梁朝伟/张曼玉...,偷情本没有这样美。,8.7,502295人评价,0,0
157,黑客帝国3：矩阵革命,2003,美国,动作科幻,拉娜·沃卓斯基/莉莉·沃卓斯基...,,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,8.8,376640人评价,0,1
158,卢旺达饭店,2004,英国南非意大利美国,剧情传记历史战争,特瑞·乔治,唐·钱德尔/苏菲·奥...,当这个世界闭上双眼，他却敞开了怀抱。,8.9,274617人评价,0,1
159,三块广告牌,2017,美国英国,剧情犯罪,马丁·麦克唐纳,弗兰西斯·麦克多蒙德...,怼天怼地，你走后，她与世界为敌。,8.7,713444人评价,0,0
160,上帝之城,2002,巴西法国,犯罪剧情,费尔南多·梅里尔斯/卡迪亚·兰德á&...,,被上帝抛弃了的上帝之城。,9.0,265533人评价,0,1
161,风之谷,1984,日本,动画奇幻冒险,宫崎骏,岛本须美/松田洋治...,动画片的圣经。,8.9,316693人评价,0,0
162,哈利·波特与火焰杯,2005,英国美国,悬疑奇幻冒险,迈克·内威尔,丹尼尔·雷德克里夫...,,8.7,515295人评价,0,1
163,疯狂原始人,2013,美国,喜剧动画冒险,科克·德·米科/克里斯·桑德斯主演...,,老少皆宜，这就是好莱坞动画的魅力。,8.7,739645人评价,0,1
164,谍影重重3,2007,美国德国,动作悬疑惊悚,保罗·格林格拉斯,马特·达蒙/...,像吃了苏打饼一样干脆的电影。,8.8,365860人评价,0,0
165,英雄本色,1986,中国香港,剧情动作犯罪,吴宇森,周润发-/狄龙/张国...,英雄泪短，兄弟情长。 ,8.6,451311人评价,0,0
166,你的名字。,2016,日本,剧情爱情动画,新海诚,神木隆之介/上...,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,8.5,1193205人评价,0,0
167,头脑特工队,2015,美国,喜剧动画冒险,彼特·道格特/罗纳尔多·德尔·卡门&...,,愿我们都不用长大，每一座城堡都能永远存在。,8.7,512411人评价,0,0
168,达拉斯买家俱乐部,2013,美国,剧情传记同性,让-马克·瓦雷-é,马修·麦康纳...,Jared Leto的腿比女人还美！,8.8,387698人评价,0,1
169,纵横四海,1991,中国香港,剧情喜剧动作犯罪,吴宇森,周润发-/张国荣...,香港浪漫主义警匪动作片的巅峰之作。,8.8,356223人评价,0,0
